"","Gender","Ever_Married","Age","Graduated","Spending_Score","Family_Size"
"1","Male","No",22,"No","Low",4
"2","Female","Yes",38,"Yes","Average",3
"3","Female","Yes",67,"Yes","Low",1
"4","Male","Yes",67,"Yes","High",2
"5","Female","Yes",40,"Yes","High",6
"6","Male","Yes",56,"No","Average",2
"7","Male","No",32,"Yes","Low",3
"8","Female","No",33,"Yes","Low",3
"9","Female","Yes",61,"Yes","Low",3
"10","Female","Yes",55,"Yes","Average",4
"11","Female","No",26,"Yes","Low",3
"12","Male","No",19,"No","Low",4
"13","Male","Yes",70,"No","Low",1
"14","Female","Yes",58,"No","Low",1
"15","Female","No",41,"No","Low",2
"16","Female","No",32,"No","Low",5
"17","Male","No",31,"No","Low",6
"18","Male","Yes",58,"Yes","Average",4
"19","Female","Yes",79,"Yes","High",1
"20","Male","Yes",49,"Yes","Low",1
"21","Female","No",18,"No","Low",4
"22","Male","Yes",33,"Yes","Low",2
"23","Female","No",36,"Yes","Low",2
"24","Male","Yes",56,"No","Average",3
"25","Male","No",31,"No","Low",8
"26","Male","Yes",49,"Yes","Average",3
"27","Male","No",35,"Yes","Low",1
"28","Female","No",35,"No","Low",4
"29","Female","Yes",45,"Yes","Low",3
"30","Female","Yes",42,"No","Low",2
"31","Male","No",19,"No","Low",3
"32","Female","Yes",83,"No","High",2
"33","Female","No",27,"Yes","Low",4
"34","Male","No",32,"No","Low",1
"35","Female","Yes",28,"No","Average",5
"36","Female","Yes",28,"Yes","Low",2
"37","Male","Yes",56,"Yes","Average",2
"38","Female","No",47,"Yes","Low",1
"39","Female","No",22,"No","Low",2
"40","Female","No",27,"Yes","Low",3
"41","Female","Yes",49,"Yes","Low",2
"42","Male","Yes",40,"No","Low",1
"43","Female","Yes",79,"No","High",2
"44","Male","Yes",41,"Yes","Average",4
"45","Female","No",29,"Yes","Low",1
"46","Male","No",19,"No","Low",4
"47","Female","No",45,"Yes","Low",1
"48","Female","Yes",61,"No","Average",2
"49","Female","Yes",36,"Yes","Average",2
"50","Male","Yes",40,"Yes","Low",1
"51","Female","Yes",57,"Yes","Average",2
"52","Male","Yes",76,"No","Low",1
"53","Male","Yes",32,"Yes","Average",2
"54","Male","No",25,"Yes","Low",4
"55","Female","Yes",45,"Yes","Average",3
"56","Male","Yes",48,"Yes","Average",2
"57","Male","Yes",55,"Yes","Average",2
"58","Male","Yes",74,"Yes","High",3
"59","Male","Yes",56,"Yes","High",2
"60","Male","Yes",59,"Yes","High",2
"61","Male","No",25,"Yes","Low",2
"62","Male","Yes",31,"Yes","Average",2
"63","Male","No",27,"No","Low",4
"64","Male","Yes",57,"Yes","Average",4
"65","Female","Yes",39,"Yes","High",2
"66","Male","Yes",27,"Yes","Low",2
"67","Female","Yes",51,"Yes","Average",2
"68","Female","Yes",47,"No","Average",5
"69","Female","No",33,"No","Low",4
"70","Male","Yes",56,"Yes","Average",4
"71","Female","No",33,"No","Low",3
"72","Female","No",36,"Yes","Low",2
"73","Male","Yes",51,"No","Low",3
"74","Male","Yes",45,"Yes","Average",2
"75","Female","No",49,"Yes","Low",1
"76","Male","No",30,"No","Low",4
"77","Female","No",26,"No","Low",3
"78","Male","Yes",63,"Yes","Low",1
"79","Male","Yes",35,"No","Average",4
"80","Female","No",19,"No","Low",3
"81","Male","No",32,"No","Low",5
"82","Male","Yes",52,"Yes","Average",3
"83","Female","Yes",36,"Yes","Low",2
"84","Female","No",42,"No","Low",3
"85","Male","Yes",40,"No","Average",2
"86","Male","No",39,"Yes","Low",3
"87","Female","Yes",47,"Yes","Average",4
"88","Female","Yes",61,"Yes","High",2
"89","Male","Yes",32,"No","Low",2
"90","Male","Yes",55,"No","Low",1
"91","Male","Yes",58,"Yes","Average",1
"92","Female","No",38,"Yes","Low",1
"93","Male","Yes",63,"Yes","High",2
"94","Male","Yes",58,"Yes","Average",2
"95","Male","Yes",30,"No","Average",3
"96","Male","Yes",60,"Yes","Average",4
"97","Male","Yes",68,"No","High",7
"98","Male","Yes",52,"No","Low",3
"99","Male","Yes",38,"No","High",5
"100","Female","Yes",35,"Yes","Low",2
"101","Male","No",18,"No","Low",2
"102","Male","Yes",30,"Yes","Low",2
"103","Male","No",86,"No","Low",1
"104","Male","No",25,"No","Low",3
"105","Male","Yes",59,"Yes","Low",4
"106","Female","No",39,"Yes","Low",1
"107","Male","No",47,"Yes","Low",1
"108","Male","Yes",43,"Yes","High",3
"109","Male","Yes",36,"No","Average",4
"110","Male","Yes",80,"No","Low",1
"111","Male","No",36,"Yes","Low",2
"112","Male","No",27,"No","Low",7
"113","Female","Yes",37,"Yes","High",2
"114","Male","Yes",46,"Yes","High",3
"115","Male","Yes",55,"No","High",4
"116","Female","Yes",47,"No","Average",4
"117","Female","No",28,"Yes","Low",3
"118","Male","Yes",39,"No","Low",2
"119","Female","Yes",27,"No","Low",2
"120","Male","Yes",72,"Yes","Average",2
"121","Female","Yes",28,"Yes","Low",2
"122","Male","No",35,"Yes","Low",5
"123","Male","Yes",39,"Yes","High",5
"124","Female","Yes",69,"Yes","High",2
"125","Male","No",18,"No","Low",4
"126","Male","Yes",46,"Yes","Low",1
"127","Female","Yes",50,"Yes","High",2
"128","Male","No",30,"No","Low",5
"129","Female","No",41,"No","Low",2
"130","Female","No",39,"Yes","Low",4
"131","Female","No",29,"No","Low",4
"132","Female","Yes",37,"Yes","Low",4
"133","Female","Yes",39,"Yes","Average",2
"134","Female","Yes",48,"Yes","Average",5
"135","Female","No",32,"Yes","Low",3
"136","Female","Yes",43,"No","Average",5
"137","Male","No",29,"No","Low",5
"138","Female","Yes",28,"No","Average",2
"139","Male","Yes",80,"Yes","Low",1
"140","Female","No",28,"Yes","Low",4
"141","Male","Yes",71,"Yes","Average",3
"142","Male","Yes",67,"No","High",9
"143","Female","No",26,"No","Low",1
"144","Female","Yes",47,"Yes","Average",2
"145","Female","Yes",43,"Yes","Average",2
"146","Female","No",27,"Yes","Low",4
"147","Female","Yes",45,"Yes","Low",4
"148","Male","Yes",76,"No","Low",1
"149","Female","Yes",43,"Yes","Average",4
"150","Female","Yes",78,"Yes","High",2
"151","Male","Yes",35,"Yes","Average",3
"152","Female","No",49,"Yes","Low",1
"153","Female","No",25,"Yes","Low",5
"154","Male","Yes",37,"No","Average",5
"155","Female","No",32,"No","Low",5
"156","Male","Yes",60,"Yes","Average",2
"157","Female","Yes",45,"Yes","Average",3
"158","Female","Yes",49,"Yes","Average",3
"159","Male","No",32,"Yes","Low",5
"160","Female","Yes",40,"Yes","Low",3
"161","Male","Yes",59,"No","Average",2
"162","Male","Yes",48,"Yes","Low",5
"163","Male","Yes",82,"Yes","High",2
"164","Female","Yes",70,"Yes","Low",2
"165","Male","No",31,"Yes","Low",2
"166","Female","Yes",72,"Yes","High",2
"167","Male","Yes",50,"Yes","Average",4
"168","Female","No",23,"No","Low",1
"169","Female","No",20,"No","Low",6
"170","Female","No",22,"No","Low",3
"171","Female","No",31,"Yes","Low",1
"172","Female","Yes",36,"Yes","Average",2
"173","Male","Yes",52,"No","Average",5
"174","Female","No",29,"Yes","Low",1
"175","Male","Yes",40,"Yes","Average",4
"176","Female","No",40,"Yes","Low",1
"177","Male","Yes",38,"Yes","Low",2
"178","Female","No",21,"No","Low",3
"179","Female","Yes",41,"No","Average",2
"180","Male","Yes",40,"Yes","Low",2
"181","Male","Yes",53,"Yes","Average",3
"182","Female","Yes",42,"Yes","Low",2
"183","Male","Yes",42,"No","Low",2
"184","Male","Yes",48,"Yes","Average",4
"185","Male","Yes",59,"Yes","Low",2
"186","Male","Yes",41,"Yes","Average",3
"187","Female","Yes",31,"Yes","Average",2
"188","Female","Yes",49,"Yes","High",5
"189","Male","Yes",67,"Yes","Low",2
"190","Male","Yes",35,"No","Average",2
"191","Female","No",26,"Yes","Low",3
"192","Female","Yes",25,"No","Average",8
"193","Female","Yes",39,"Yes","Low",2
"194","Male","Yes",63,"Yes","Low",2
"195","Male","No",23,"No","Low",3
"196","Female","No",23,"No","Low",3
"197","Female","Yes",53,"Yes","Low",1
"198","Male","No",33,"Yes","Low",2
"199","Female","Yes",50,"No","Average",4
"200","Female","Yes",69,"Yes","Low",2
"201","Male","No",37,"Yes","Low",1
"202","Female","No",20,"No","Low",4
"203","Female","Yes",49,"Yes","Average",4
"204","Male","No",18,"No","Low",3
"205","Female","Yes",52,"Yes","Average",2
"206","Male","Yes",25,"No","Average",2
"207","Male","Yes",56,"No","High",2
"208","Male","No",62,"Yes","Low",1
"209","Male","Yes",28,"Yes","Average",2
"210","Female","No",28,"Yes","Low",3
"211","Male","No",20,"No","Low",5
"212","Female","No",27,"No","Low",1
"213","Female","No",56,"No","Low",1
"214","Male","Yes",45,"Yes","Average",4
"215","Male","No",25,"Yes","Low",4
"216","Male","No",40,"No","Low",1
"217","Female","Yes",25,"Yes","Low",2
"218","Female","Yes",74,"No","High",2
"219","Female","No",23,"No","Low",4
"220","Female","Yes",67,"Yes","High",2
"221","Male","No",21,"No","Low",4
"222","Female","No",38,"Yes","Low",1
"223","Male","No",28,"No","Low",4
"224","Female","No",32,"No","Low",5
"225","Female","No",33,"Yes","Low",4
"226","Female","Yes",56,"No","High",4
"227","Female","Yes",53,"Yes","Low",2
"228","Male","Yes",57,"No","High",5
"229","Female","Yes",59,"Yes","Average",3
"230","Female","Yes",25,"Yes","High",4
"231","Male","Yes",59,"Yes","Average",6
"232","Female","Yes",36,"Yes","Low",4
"233","Male","Yes",37,"Yes","Low",2
"234","Male","No",22,"No","Low",3
"235","Male","Yes",43,"Yes","Low",2
"236","Male","Yes",41,"Yes","Low",2
"237","Female","No",21,"No","Low",5
"238","Male","No",38,"Yes","Low",1
"239","Male","Yes",47,"No","Average",4
"240","Male","Yes",70,"Yes","High",3
"241","Female","No",31,"No","Low",4
"242","Female","Yes",82,"No","Average",2
"243","Female","Yes",51,"No","Low",1
"244","Male","No",38,"Yes","Low",3
"245","Male","Yes",18,"No","High",4
"246","Male","Yes",50,"Yes","Average",3
"247","Female","Yes",72,"No","High",3
"248","Female","No",33,"No","Low",4
"249","Female","No",25,"No","Low",7
"250","Female","Yes",75,"No","High",2
"251","Male","No",72,"Yes","Low",1
"252","Female","Yes",72,"Yes","Average",3
"253","Male","Yes",36,"Yes","Low",6
"254","Male","Yes",40,"Yes","Low",2
"255","Female","No",28,"Yes","Low",4
"256","Female","No",28,"Yes","Low",3
"257","Male","Yes",43,"Yes","Low",2
"258","Female","Yes",35,"Yes","Average",2
"259","Male","Yes",65,"Yes","High",2
"260","Male","Yes",52,"Yes","High",4
"261","Female","No",40,"Yes","Low",1
"262","Female","Yes",69,"No","Low",3
"263","Female","No",22,"No","Low",3
"264","Male","Yes",47,"Yes","Average",4
"265","Male","Yes",29,"Yes","High",2
"266","Male","Yes",46,"Yes","Average",3
"267","Male","No",32,"Yes","Low",2
"268","Female","No",38,"Yes","Low",1
"269","Male","Yes",59,"Yes","Low",1
"270","Female","No",26,"Yes","Low",1
"271","Male","No",26,"Yes","Low",2
"272","Male","No",28,"No","Low",1
"273","Female","Yes",53,"Yes","Average",3
"274","Male","No",27,"No","Low",3
"275","Female","No",32,"No","Low",8
"276","Male","No",26,"No","Low",4
"277","Female","No",31,"No","Low",2
"278","Male","Yes",39,"Yes","High",3
"279","Female","Yes",43,"No","Low",3
"280","Male","Yes",25,"No","Low",2
"281","Male","Yes",40,"Yes","High",3
"282","Female","Yes",40,"Yes","Average",2
"283","Male","Yes",63,"Yes","Average",3
"284","Female","Yes",27,"Yes","Low",2
"285","Male","No",27,"Yes","Low",3
"286","Female","No",19,"No","Low",2
"287","Female","Yes",86,"Yes","High",2
"288","Male","Yes",41,"Yes","High",2
"289","Female","Yes",27,"Yes","Average",2
"290","Female","Yes",70,"No","Average",2
"291","Female","Yes",53,"No","Average",4
"292","Female","Yes",49,"No","Average",4
"293","Male","Yes",83,"No","Low",1
"294","Male","Yes",43,"No","High",4
"295","Male","Yes",36,"No","Low",3
"296","Male","Yes",74,"Yes","Low",2
"297","Female","No",30,"No","Low",4
"298","Female","No",37,"Yes","Low",2
"299","Female","No",22,"No","Low",1
